Site,Date,Type,Beprobungsperson,Messperson,TreeNr,Species,HarvestTime,MessTime,HarvestHeight_m,Light,Weather,Leaf1_bar,Leaf2_bar,Leaf3_bar,LWP_mean
Bhutan,09.07.2026,Midday,Lorenz,Lorenz,F1,Fichte,11:17,11:20,4,halb,sunny,12,13,13,13
Bhutan,09.07.2026,Midday,Louis,Louis,F2,Fichte,11:30,11:35,7,voll,sunny,14,14,13,14
Bhutan,09.07.2026,Midday,Louis,Louis,F3,Fichte,11:40,11:45,5,kein,sunny,14,14,15,14
Bhutan,09.07.2026,Midday,Lorenz,Louis,T1,Tanne,12:00,12:05,3,voll,sunny,14,15,15,15
Bhutan,09.07.2026,Midday,Louis,Dennis,T2,Tanne,12:05,12:10,3,voll,sunny,18,17,17,17
Bhutan,09.07.2026,Midday,Louis,Dennis,T3,Tanne,12:35,12:40,3,kein,sunny,12,14,14,13
Bhutan,09.07.2026,Midday,Andy,Dennis,K2,Foehre,13:35,13:40,10,voll,sunny,17,15,15,16
Bhutan,09.07.2026,Midday,Andy,Dennis,K3,Foehre,13:55,14:00,10,voll,sunny,14,14,18,15
Bhutan,09.07.2026,Midday,Andy,Dennis,K1,Foehre,14:10,14:15,10,voll,sunny,17,18,16,17
Bhutan,09.07.2026,Midday,Louis,Louis,O1,Eiche,14:30,14:35,1,kein,sunny,19,21,22,21
Bhutan,10.07.2026,Predawn,Louis,Andy,F3,Fichte,01:55,02:00,5,kein,clear,13,12,11,12
Bhutan,10.07.2026,Predawn,Louis,Andy,F2,Fichte,02:20,02:30,7,kein,clear,10,11,10,10
Bhutan,10.07.2026,Predawn,Louis,Andy,F1,Fichte,02:35,02:40,4,kein,clear,11,10,11,11
Bhutan,10.07.2026,Predawn,Dennis,Louis,T1,Tanne,01:00,01:05,3,kein,clear,12,12,12,12
Bhutan,10.07.2026,Predawn,Louis,Dennis,T2,Tanne,01:35,01:40,3,kein,clear,11,12,10,11
Bhutan,10.07.2026,Predawn,Louis,Dennis,T3,Tanne,01:45,01:50,3,kein,clear,12,13,11,12
Bhutan,10.07.2026,Predawn,Andy,Dennis,K1,Foehre,02:45,02:50,10,kein,clear,9,9,8,9
Bhutan,10.07.2026,Predawn,Andy,Dennis,K2,Foehre,03:00,03:05,10,kein,clear,8,8,8,8
Bhutan,10.07.2026,Predawn,Andy,Dennis,K3,Foehre,03:25,03:30,10,kein,clear,8,8,8,8
Bhutan,10.07.2026,Predawn,Louis,Louis,O1,Eiche,03:35,03:40,1,kein,clear,4,6,6,5
